iter	Passed	Remaining
0	1	1295
1	2	1088
2	3	1006
3	4	1015
4	5	1035
5	6	1016
6	7	997
7	7	984
8	9	1063
9	11	1122
10	12	1117
11	13	1104
12	14	1093
13	15	1083
14	16	1095
15	17	1099
16	18	1093
17	19	1083
18	20	1077
19	21	1070
20	23	1111
21	24	1108
22	25	1103
23	27	1098
24	28	1094
25	29	1098
26	30	1099
27	31	1104
28	32	1097
29	33	1092
30	34	1086
31	36	1095
32	37	1089
33	38	1084
34	39	1076
35	39	1068
36	40	1061
37	41	1062
38	42	1057
39	43	1051
40	44	1045
41	45	1040
42	46	1035
43	47	1029
44	48	1031
45	49	1027
46	50	1022
47	51	1017
48	52	1013
49	53	1008
50	54	1009
51	55	1007
52	56	1003
53	57	1001
54	58	998
55	58	994
56	59	990
57	61	991
58	61	988
59	62	985
60	63	982
61	64	978
62	65	975
63	66	971
64	67	974
65	68	971
66	69	969
67	70	965
68	71	963
69	72	959
70	74	972
71	75	972
72	76	970
73	77	968
74	78	966
75	79	971
76	81	971
77	82	970
78	83	968
79	84	966
80	85	964
81	86	966
82	86	960
83	87	957
84	88	954
85	89	951
86	90	948
87	91	945
88	92	948
89	93	945
90	94	943
91	95	940
92	96	937
93	97	935
94	98	938
95	99	939
96	100	937
97	101	936
98	102	934
99	103	932
100	104	934
101	106	934
102	107	932
103	107	930
104	108	928
105	109	925
106	110	925
107	112	925
108	113	926
109	114	924
110	115	922
111	116	920
112	117	923
113	118	922
114	119	921
115	120	920
116	121	917
117	122	915
118	123	916
119	124	915
120	125	914
121	126	910
122	127	909
123	128	908
124	129	909
125	131	909
126	131	906
127	132	904
128	133	902
129	134	900
130	135	899
131	136	898
132	137	897
133	138	895
134	139	893
135	140	891
136	141	889
137	142	890
138	143	890
139	144	889
140	145	887
141	146	884
142	147	882
143	148	884
144	149	882
145	150	881
146	151	879
147	152	877
148	153	875
149	154	873
150	155	874
151	156	875
152	157	874
153	158	872
154	159	871
155	161	876
156	163	875
157	164	875
158	165	874
159	166	873
160	167	871
161	168	870
162	169	869
163	170	868
164	171	866
165	172	864
166	172	862
167	174	864
168	175	863
169	176	862
170	177	861
171	178	859
172	179	858
173	180	857
174	181	857
175	182	856
176	183	855
177	184	853
178	186	854
179	187	854
180	188	854
181	189	852
182	190	851
183	191	849
184	193	851
185	194	850
186	195	849
187	196	847
188	197	846
189	198	845
190	199	844
191	200	844
192	201	842
193	202	840
194	203	839
195	204	838
196	205	837
197	206	836
198	207	835
199	208	834
200	209	833
201	210	832
202	211	831
203	212	831
204	213	829
205	214	828
206	215	826
207	216	824
208	217	824
209	219	824
210	220	823
211	221	822
212	222	821
213	223	820
214	224	820
215	225	819
216	227	819
217	227	817
218	228	816
219	230	816
220	231	815
221	232	815
222	233	814
223	234	813
224	236	813
225	237	814
226	238	812
227	239	811
228	240	809
229	241	807
230	242	807
231	243	807
232	244	806
233	245	805
234	246	803
235	247	802
236	249	802
237	250	802
238	251	801
239	252	801
240	254	801
241	255	800
242	256	799
243	257	798
244	258	797
245	259	795
246	261	795
247	262	794
248	263	793
249	264	792
250	265	791
251	266	790
252	267	790
253	268	788
254	269	788
255	270	786
256	271	785
257	273	785
258	274	784
259	275	783
260	276	781
261	276	780
262	277	778
263	280	780
264	281	779
265	282	778
266	283	777
267	284	776
268	285	777
269	287	776
270	288	775
271	289	774
272	290	772
273	291	773
274	293	772
275	294	771
276	295	770
277	296	769
278	297	767
279	298	767
280	299	766
281	300	765
282	301	764
283	302	762
284	305	765
285	308	769
286	309	768
287	311	769
288	312	768
289	313	767
290	314	767
291	315	765
292	317	765
293	318	764
294	319	762
295	320	762
296	323	764
297	324	765
298	326	764
299	327	763
300	328	763
301	330	762
302	331	761
303	331	760
304	332	758
305	333	756
306	334	755
307	336	756
308	337	754
309	338	754
310	340	754
311	341	753
312	342	752
313	343	751
314	344	749
315	345	748
